# Cell_X[m]  Cell_Y[m]  Velocity[m/s]
10.571627  -1.609193  246.556045
11.201189  -0.805752  207.042741
9.013493  -0.545819  201.093408
9.494110  -0.335429  200.181685
7.022752  -0.397351  201.081455
6.404604  -0.870698  224.739476
5.190567  -0.653158  209.248449
5.529980  -1.138562  253.939905
2.042108  -2.789088  1224.265403
15.021602  -1.076583  294.853958
15.976728  -1.490078  341.842646
3.448146  -1.248717  254.935820
15.070980  -0.318315  224.187185
15.838878  -0.724523  277.581973
14.059934  -1.342985  331.195953
19.344181  -1.048053  284.549697
18.796484  -0.668342  225.460260
16.758221  -1.170257  295.874529
18.035560  -0.354497  218.276649
18.061742  -1.039233  310.624044
18.292117  -1.406189  366.461500
18.410012  -3.336507  1541.009428
10.014121  -0.320664  200.164052
10.807132  -0.808621  205.735835
8.819421  -1.271308  222.267725
12.033743  -1.543808  302.513304
13.580969  -0.935143  234.942281
13.909982  -0.979636  238.684126
11.828375  -1.163756  243.020039
13.441432  -0.641643  211.806399
50.707480  -0.971513  420.762259
53.509492  -2.283045  543.593886
50.292501  -0.564321  400.158078
50.131042  -1.161481  654.785319
55.615219  -1.868497  599.673961
58.240131  -1.400250  508.319131
55.707186  -0.659831  364.916864
56.274918  -1.432287  435.236604
54.781548  -1.331680  410.637792
56.418222  -1.988442  575.045935
55.231985  -2.030890  590.042369
53.141044  -1.895100  470.296474
53.216567  -0.692340  345.793723
53.794389  -1.460835  418.733920
51.928240  -1.580255  472.780809
52.640784  -2.014693  459.915306
20.786127  -0.645580  206.290619
20.445434  -1.349523  341.589620
25.679521  -0.687691  244.132953
26.087254  -1.225037  307.468887
24.130871  -0.551164  235.488192
24.682536  -0.999801  280.431228
23.329540  -1.793019  501.571332
24.267620  -1.095782  282.259547
30.637674  -1.695062  568.588755
32.878905  -1.148599  309.534398
30.677206  -0.589888  222.552179
31.092663  -1.243843  341.155782
30.014593  -1.732609  672.440510
30.755829  -1.121077  338.328380
27.182455  -0.628021  247.959090
26.753343  -1.197727  317.130267
36.066332  -1.979295  501.386708
39.379422  -1.668152  551.414383
36.188938  -0.667160  309.928217
36.661644  -1.440093  396.341450
35.323349  -1.394234  331.984739
35.541002  -1.956520  483.785980
33.450834  -0.673577  296.634734
33.732442  -0.881161  295.752271
42.029488  -1.440475  401.192066
47.676364  -1.538245  439.376743
42.185331  -0.610454  271.638567
42.673066  -1.318624  348.912751
41.362762  -1.816711  724.475842
42.275424  -1.183855  354.650554
38.839900  -0.645787  233.295310
38.639146  -1.301091  385.845253
36.436305  -2.269148  546.096984
42.627874  -1.789607  539.330303
45.124839  -1.368921  421.303359
47.602295  -2.113033  691.754108
44.734895  -0.537151  291.984824
44.452693  -1.117216  330.246104
42.156456  -1.820514  546.362885
45.548869  -1.495035  437.503349
46.438000  -2.050390  683.790506
51.157741  -1.459624  522.814595
48.076044  -2.324804  701.279327
