# Index  Shot#  Recv#  Measured[s]  Calculated[s]  Residual[s]
   521      6     67  0.020620  0.019503  0.001117
   522      6     68  0.019640  0.019905  -0.000265
   523      6     69  0.021360  0.020417  0.000943
   524      6     70  0.021110  0.020952  0.000158
   525      6     71  0.020620  0.021506  -0.000886
   526      6     72  0.021110  0.021215  -0.000105
   527      6     73  0.020860  0.021346  -0.000486
   528      6     74  0.020860  0.021272  -0.000412
   529      6     75  0.020620  0.021078  -0.000458
   530      6     76  0.020370  0.021648  -0.001278
   531      6     77  0.021600  0.022196  -0.000596
   532      6     78  0.021850  0.022713  -0.000863
   533      6     79  0.022580  0.023406  -0.000826
   534      6     80  0.023570  0.024329  -0.000759
   535      6     81  0.024790  0.027026  -0.002236
   536      6     82  0.024790  0.025543  -0.000753
   537      6     83  0.026270  0.025550  0.000720
   538      6     84  0.025530  0.025798  -0.000268
   539      6     85  0.024060  0.026212  -0.002152
   540      6     86  0.025040  0.026651  -0.001611
   541      6     87  0.026760  0.027502  -0.000742
   542      6     88  0.025530  0.028223  -0.002693
   543      6     89  0.023320  0.028486  -0.005166
   544      6     90  0.022580  0.028592  -0.006012
   545      6     91  0.022830  0.029029  -0.006199
   546      6     92  0.022090  0.028346  -0.006256
   547      6     93  0.021110  0.028000  -0.006890
   548      6     94  0.022580  0.028408  -0.005828
   549      6     96  0.021360  0.029251  -0.007891
   550      6     97  0.022090  0.028759  -0.006669
   551      6     98  0.021360  0.028828  -0.007468
   552      6     99  0.020370  0.029474  -0.009104
   553      6    100  0.020130  0.030234  -0.010104
   554      6    101  0.021110  0.032740  -0.011630
   555      6    102  0.021850  0.030658  -0.008808
   556      6    103  0.022090  0.030318  -0.008228
   557      6    104  0.022580  0.030416  -0.007836
   558      7      1  0.040750  0.038710  0.002040
   559      7      2  0.040000  0.039904  0.000096
   560      7      3  0.039110  0.038704  0.000406
   561      7      4  0.038000  0.037937  0.000063
   562      7      5  0.037250  0.037741  -0.000491
   563      7      6  0.038000  0.037663  0.000337
   564      7      7  0.037750  0.037422  0.000328
   565      7      8  0.036120  0.037038  -0.000918
   566      7      9  0.035500  0.036958  -0.001458
   567      7     10  0.036690  0.037334  -0.000644
   568      7     11  0.037000  0.038642  -0.001642
   569      7     12  0.037500  0.036887  0.000613
   570      7     13  0.037250  0.036294  0.000956
   571      7     14  0.036120  0.035391  0.000729
   572      7     15  0.035690  0.034893  0.000797
   573      7     16  0.034550  0.034011  0.000539
   574      7     17  0.033120  0.033587  -0.000467
   575      7     18  0.033550  0.033545  0.000005
   576      7     19  0.033260  0.032873  0.000387
   577      7     20  0.032980  0.032521  0.000459
   578      7     21  0.033260  0.031481  0.001779
   579      7     22  0.032410  0.031795  0.000615
   580      7     23  0.031980  0.031498  0.000482
   581      7     24  0.031410  0.031205  0.000205
   582      7     25  0.031120  0.030921  0.000199
   583      7     26  0.030980  0.030783  0.000197
   584      7     27  0.030250  0.029962  0.000288
   585      7     28  0.029500  0.029388  0.000112
